method,model,n_features,selected_features,rmse,mae,r2
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1033592115192367,0.0765083953124639,0.0251245854676731
RFE,XGBoost,5,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",0.1033730889749412,0.0766831407944838,0.0248627858970162
RFE,XGBoost,20,"['return_5d', 'return_10d', 'return_20d', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1034049801564102,0.076712683858327,0.024261022417611
RFE,XGBoost,10,"['sma_5', 'sma_20', 'sma_60', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.1034176625536657,0.0767336054950916,0.0240216631879424
RFE,XGBoost,5,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",0.1034177740620576,0.0770727667120854,0.0240195585216632
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1034449013724887,0.0769754915286323,0.0235074763955854
RFE,XGBoost,25,"['return_1d', 'return_5d', 'return_10d', 'return_20d', 'intraday_return', 'high_low_range', 'gap', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_5', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'roc_20', 'macd', 'macd_signal', 'macd_hist', 'volatility_5', 'volatility_20', 'atr_14', 'volume_change_1d', 'volume_sma_20', 'volume_ratio_20']",0.1034449013724887,0.0769754915286323,0.0235074763955854
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20', 'volume_ratio_20']",0.1034464855572345,0.0767664404848572,0.023477567596119
RFE,XGBoost,15,"['return_10d', 'return_20d', 'sma_5', 'sma_20', 'sma_60', 'price_to_sma_20', 'price_to_sma_60', 'rsi_14', 'roc_10', 'macd', 'macd_signal', 'macd_hist', 'volatility_20', 'atr_14', 'volume_sma_20']",0.10345930956602,0.0767130162962054,0.0232354383753231
RFE,Random Forest,5,"['return_20d', 'sma_5', 'sma_60', 'volatility_20', 'atr_14']",0.1034810326613233,,
